match_id,temporada,fecha,jornada,round_type,round_id,week_id,equipo_local,equipo_visitante,club_local_id,club_visitante_id,pts_local,pts_visitante,ganador,entrenador_local,entrenador_visitante,loc_asistencias,loc_faltas_cometidas,loc_perdidas,loc_reb_defensivos,loc_reb_ofensivos,loc_reb_totales,loc_recuperaciones,loc_t2_anotados,loc_t2_intentados,loc_t2_pct,loc_t3_anotados,loc_t3_intentados,loc_t3_pct,loc_tapones_contra,loc_tapones_favor,loc_tl_anotados,loc_tl_intentados,loc_tl_pct,loc_valoracion,vis_asistencias,vis_faltas_cometidas,vis_perdidas,vis_reb_defensivos,vis_reb_ofensivos,vis_reb_totales,vis_recuperaciones,vis_t2_anotados,vis_t2_intentados,vis_t2_pct,vis_t3_anotados,vis_t3_intentados,vis_t3_pct,vis_tapones_contra,vis_tapones_favor,vis_tl_anotados,vis_tl_intentados,vis_tl_pct,vis_valoracion
101048,2020-21,2021-03-07T11:30:00Z,25,LR,5130,23,UCAM Murcia CB,Real Madrid,12,9,58,74,visitante,Sito Alonso,Pablo Laso,9,23,11,21,13,34,10,18,53,0.3396,2,15,0.1333,3,2,16,23,0.6957,40,11,21,19,32,9,41,7,16,31,0.5161,7,24,0.2917,2,3,21,30,0.7,76
101049,2020-21,2021-03-07T18:00:00Z,25,LR,5130,23,Monbus Obradoiro,TD Systems Baskonia,57,3,78,87,visitante,Moncho Fernández,Dusko Ivanovic,15,21,10,18,9,27,6,18,34,0.5294,12,38,0.3158,5,1,6,6,1.0,63,21,14,10,27,4,31,6,24,42,0.5714,7,16,0.4375,1,5,18,23,0.7826,114
101050,2020-21,2021-03-06T17:00:00Z,25,LR,5130,23,Herbalife Gran Canaria,Movistar Estudiantes,5,6,97,94,local,Porfirio Fisac,Jota Cuspinera,15,20,10,29,12,41,8,31,52,0.5962,6,25,0.24,1,6,17,21,0.8095,114,20,23,11,29,13,42,6,19,45,0.4222,14,34,0.4118,6,1,14,21,0.6667,90
101051,2020-21,2021-03-07T11:30:00Z,25,LR,5130,23,RETAbet Bilbao Basket,Coosur Real Betis,4,15,86,84,local,Álex Mumbrú,Joan Plaza,19,23,10,16,10,26,6,25,44,0.5682,10,25,0.4,2,7,6,7,0.8571,88,14,14,13,21,13,34,7,20,40,0.5,8,22,0.3636,7,2,20,23,0.8696,93
101052,2020-21,2021-03-06T19:45:00Z,25,LR,5130,23,Casademont Zaragoza,Club Joventut Badalona,16,8,95,100,visitante,Sergio Hernández,Carles Duran,18,28,8,21,5,26,4,27,46,0.587,7,20,0.35,1,3,20,26,0.7692,96,16,26,10,25,10,35,5,27,43,0.6279,9,27,0.3333,3,1,19,29,0.6552,100
101053,2020-21,2021-04-08T18:30:00Z,25,LR,5130,28,Hereda San Pablo Burgos,Lenovo Tenerife,549,28,86,98,visitante,Joan Peñarroya,Txus Vidorreta,23,21,9,19,6,25,6,25,32,0.7812,7,26,0.2692,2,1,15,22,0.6818,95,21,19,9,21,4,25,4,20,29,0.6897,15,29,0.5172,1,2,13,16,0.8125,116
101054,2020-21,2021-03-07T19:00:00Z,25,LR,5130,23,Valencia Basket Club,BAXI Manresa,13,10,112,82,local,Jaume Ponsarnau,Pedro Martínez,27,16,12,20,6,26,6,29,40,0.725,11,17,0.6471,1,2,21,25,0.84,144,25,21,10,12,6,18,7,25,40,0.625,9,22,0.4091,2,1,5,10,0.5,83
101055,2020-21,2021-03-16T19:30:00Z,25,LR,5130,25,Barça,Unicaja,2,14,79,55,local,Sarunas Jasikevicius ,Fotis Katsikaris,15,20,12,28,9,37,6,22,42,0.5238,8,18,0.4444,5,1,11,11,1.0,89,4,18,9,17,10,27,10,12,38,0.3158,6,20,0.3,1,5,13,16,0.8125,50
101056,2020-21,2021-03-14T16:00:00Z,26,LR,5131,24,Acunsa GBC,Valencia Basket Club,7,13,78,60,local,Marcelo Nicola,Jaume Ponsarnau,15,17,13,28,8,36,10,24,36,0.6667,8,30,0.2667,1,5,6,9,0.6667,90,14,16,19,22,6,28,5,14,29,0.4828,9,28,0.3214,5,1,5,9,0.5556,47
101057,2020-21,2021-02-27T19:45:00Z,24,LR,5129,22,Acunsa GBC,RETAbet Bilbao Basket,7,4,74,97,visitante,Marcelo Nicola,Álex Mumbrú,13,17,9,15,11,26,5,23,44,0.5227,8,25,0.32,2,2,4,8,0.5,62,15,12,8,25,4,29,7,23,38,0.6053,14,22,0.6364,2,2,9,10,0.9,121
101058,2020-21,2021-03-21T17:30:00Z,27,LR,5132,25,Valencia Basket Club,Barça,13,2,64,80,visitante,Jaume Ponsarnau,Sarunas Jasikevicius ,19,17,19,15,6,21,9,15,33,0.4545,9,22,0.4091,4,3,7,11,0.6364,58,24,18,21,25,9,34,12,21,34,0.6176,12,27,0.4444,3,4,2,5,0.4,97
101059,2020-21,2021-03-21T16:00:00Z,27,LR,5132,25,Real Madrid,Coosur Real Betis,9,15,95,77,local,Pablo Laso,Joan Plaza,20,21,9,28,9,37,5,18,38,0.4737,15,27,0.5556,0,6,14,15,0.9333,118,16,19,9,22,15,37,5,16,46,0.3478,10,24,0.4167,6,0,15,22,0.6818,71
101060,2020-21,2021-04-04T16:30:00Z,29,LR,5134,27,Hereda San Pablo Burgos,Barça,549,2,77,93,visitante,Joan Peñarroya,Sarunas Jasikevicius ,19,24,14,14,10,24,12,16,37,0.4324,10,27,0.3704,3,0,15,20,0.75,71,21,23,18,28,7,35,9,16,28,0.5714,11,20,0.55,0,3,28,32,0.875,119
101061,2020-21,2021-04-04T15:00:00Z,29,LR,5134,27,Valencia Basket Club,Club Joventut Badalona,13,8,89,102,visitante,Jaume Ponsarnau,Carles Duran,20,19,13,11,8,19,8,22,36,0.6111,11,29,0.3793,6,1,12,15,0.8,84,23,20,16,18,7,25,8,27,38,0.7105,11,17,0.6471,1,6,15,18,0.8333,126
101062,2020-21,2021-03-27T19:45:00Z,28,LR,5133,26,Acunsa GBC,Monbus Obradoiro,7,57,66,79,visitante,Marcelo Nicola,Moncho Fernández,12,19,13,19,6,25,9,19,41,0.4634,8,21,0.381,0,1,4,10,0.4,53,11,13,11,30,12,42,7,20,39,0.5128,7,25,0.28,1,0,18,23,0.7826,90
101063,2020-21,2021-03-29T18:30:00Z,28,LR,5133,27,Movistar Estudiantes,MoraBanc Andorra,6,22,97,85,local,Jota Cuspinera,Ibon Navarro,21,21,8,24,12,36,8,25,46,0.5435,12,34,0.3529,1,6,11,16,0.6875,108,18,18,13,29,17,46,3,21,42,0.5,9,33,0.2727,6,1,16,21,0.7619,86
101064,2020-21,2021-03-28T18:00:00Z,28,LR,5133,26,UCAM Murcia CB,RETAbet Bilbao Basket,12,4,82,90,visitante,Sito Alonso,Álex Mumbrú,15,23,12,25,8,33,9,17,46,0.3696,12,28,0.4286,2,3,12,17,0.7059,77,14,22,17,37,7,44,3,22,31,0.7097,11,33,0.3333,3,2,13,21,0.619,94
101065,2020-21,2021-03-27T19:45:00Z,28,LR,5133,26,BAXI Manresa,Real Madrid,10,9,76,77,visitante,Pedro Martínez,Pablo Laso,16,25,15,22,3,25,9,19,36,0.5278,9,21,0.4286,6,1,11,12,0.9167,69,15,18,14,26,10,36,9,19,36,0.5278,5,23,0.2174,1,6,24,28,0.8571,96
101066,2020-21,2021-03-28T15:00:00Z,28,LR,5133,26,Club Joventut Badalona,Coosur Real Betis,8,15,78,88,visitante,Carles Duran,Joan Plaza,21,19,10,17,6,23,2,18,34,0.5294,12,25,0.48,0,2,6,6,1.0,84,16,16,9,17,4,21,3,19,32,0.5938,12,22,0.5455,2,0,14,18,0.7778,93
101067,2020-21,2021-03-27T16:30:00Z,28,LR,5133,26,Unicaja,Hereda San Pablo Burgos,14,549,93,101,visitante,Fotis Katsikaris,Joan Peñarroya,21,18,9,16,4,20,4,21,37,0.5676,16,29,0.5517,3,0,3,4,0.75,94,25,16,10,23,5,28,7,29,37,0.7838,9,20,0.45,0,3,16,24,0.6667,128
101068,2020-21,2021-03-28T16:30:00Z,28,LR,5133,26,Lenovo Tenerife,Valencia Basket Club,28,13,90,86,local,Txus Vidorreta,Jaume Ponsarnau,22,15,15,21,7,28,9,17,26,0.6538,11,24,0.4583,0,2,23,26,0.8846,117,22,23,13,15,8,23,10,18,33,0.5455,13,30,0.4333,2,0,11,15,0.7333,83
101069,2020-21,2021-03-28T10:30:00Z,28,LR,5133,26,Barça,Urbas Fuenlabrada,2,17,81,79,local,Sarunas Jasikevicius ,Josep Mª Raventós,13,21,16,22,17,39,10,21,42,0.5,5,24,0.2083,2,1,24,28,0.8571,90,14,29,16,20,10,30,12,18,36,0.5,10,25,0.4,1,2,13,16,0.8125,76
101070,2020-21,2021-03-28T15:00:00Z,28,LR,5133,26,TD Systems Baskonia,Herbalife Gran Canaria,3,5,78,99,visitante,Dusko Ivanovic,Porfirio Fisac,12,20,18,18,9,27,11,21,35,0.6,5,26,0.1923,3,2,21,27,0.7778,70,19,23,19,20,5,25,8,25,37,0.6757,10,23,0.4348,2,3,19,21,0.9048,102
101071,2020-21,2021-03-24T19:30:00Z,27,LR,5132,26,Urbas Fuenlabrada,UCAM Murcia CB,17,12,70,82,visitante,Javier Juárez,Sito Alonso,11,25,20,18,14,32,10,19,43,0.4419,5,21,0.2381,3,3,17,22,0.7727,52,21,21,18,24,9,33,9,19,40,0.475,9,22,0.4091,3,3,17,24,0.7083,90
101072,2020-21,2021-03-20T17:00:00Z,27,LR,5132,25,Monbus Obradoiro,Unicaja,57,14,83,85,visitante,Moncho Fernández,Fotis Katsikaris,14,19,15,28,10,38,0,13,23,0.5652,11,25,0.44,1,3,24,27,0.8889,105,12,29,2,12,7,19,7,23,41,0.561,10,28,0.3571,3,1,9,10,0.9,72
101073,2020-21,2021-03-21T12:00:00Z,27,LR,5132,25,Herbalife Gran Canaria,Acunsa GBC,5,7,90,81,local,Porfirio Fisac,Marcelo Nicola,14,19,11,20,11,31,7,18,33,0.5455,13,30,0.4333,0,1,15,20,0.75,97,13,21,15,21,6,27,5,20,30,0.6667,8,23,0.3478,1,0,17,22,0.7727,78
101074,2020-21,2021-03-21T11:30:00Z,27,LR,5132,25,MoraBanc Andorra,BAXI Manresa,22,10,92,86,local,Ibon Navarro,Pedro Martínez,20,22,15,22,11,33,8,19,40,0.475,11,28,0.3929,2,3,21,25,0.84,97,21,22,18,25,8,33,5,25,42,0.5952,7,30,0.2333,3,2,15,17,0.8824,84
101075,2020-21,2021-03-21T19:00:00Z,27,LR,5132,25,RETAbet Bilbao Basket,TD Systems Baskonia,4,3,72,85,visitante,Álex Mumbrú,Dusko Ivanovic,15,21,16,19,11,30,6,14,33,0.4242,11,27,0.4074,1,1,11,14,0.7857,63,15,15,12,19,8,27,8,21,37,0.5676,9,20,0.45,1,1,16,20,0.8,98
101076,2020-21,2021-03-20T19:45:00Z,27,LR,5132,25,Casademont Zaragoza,Movistar Estudiantes,16,6,104,113,visitante,Sergio Hernández,Jota Cuspinera,19,20,17,26,7,33,5,23,53,0.434,13,20,0.65,3,5,19,24,0.7917,109,22,25,12,27,17,44,11,35,60,0.5833,11,28,0.3929,5,3,10,18,0.5556,120
101077,2020-21,2021-04-16T16:30:00Z,27,LR,5132,29,Hereda San Pablo Burgos,Club Joventut Badalona,549,8,86,78,local,Joan Peñarroya,Carles Duran,14,22,13,25,9,34,12,26,47,0.5532,7,22,0.3182,5,4,13,19,0.6842,84,20,17,18,24,9,33,5,22,46,0.4783,5,18,0.2778,4,5,19,23,0.8261,83
101078,2020-21,2021-02-28T16:00:00Z,24,LR,5129,22,Coosur Real Betis,Casademont Zaragoza,15,16,82,85,visitante,Joan Plaza,Sergio Hernández,12,26,9,20,11,31,7,21,37,0.5676,7,30,0.2333,1,2,19,24,0.7917,79,15,25,14,27,8,35,4,23,39,0.5897,5,18,0.2778,2,1,24,31,0.7742,89
101079,2020-21,2021-02-28T11:30:00Z,24,LR,5129,22,Monbus Obradoiro,Lenovo Tenerife,57,28,71,97,visitante,Moncho Fernández,Txus Vidorreta,10,19,18,20,6,26,3,16,32,0.5,9,22,0.4091,0,2,12,16,0.75,63,16,21,4,19,10,29,12,29,54,0.537,9,15,0.6,2,0,12,14,0.8571,111
