game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff
2022_0116_127_134,2022-01-16T00:00:00+00:00,Medi Bayreuth,134,Ratiopharm Ulm,127,81,92,visitante,2021-22,0
2022_0118_450_1634,2022-01-18T00:00:00+00:00,EWE Baskets Oldenburg,1634,SYNTAINICS MBC Weissenfels,450,82,87,visitante,2021-22,0
2022_0121_134_40,2022-01-21T00:00:00+00:00,Basketball Loewen Braunschweig,40,Medi Bayreuth,134,92,94,visitante,2021-22,0
2022_0122_10_41,2022-01-22T00:00:00+00:00,MHP Riesen Ludwigsburg,41,ALBA Berlin,10,76,75,local,2021-22,0
2022_0122_2315_1634,2022-01-22T00:00:00+00:00,EWE Baskets Oldenburg,1634,Merlins Crailsheim,2315,86,97,visitante,2021-22,0
2022_0122_133_19629,2022-01-22T00:00:00+00:00,Veolia Towers Hamburg,19629,46ers Giessen,133,73,100,visitante,2021-22,0
2022_0122_127_1791,2022-01-22T00:00:00+00:00,NINERS Chemnitz,1791,Ratiopharm Ulm,127,68,77,visitante,2021-22,0
2022_0123_1510_132,2022-01-23T00:00:00+00:00,Bamberg Baskets,132,Telekom Baskets Bonn,1510,81,95,visitante,2021-22,0
2022_0123_215_219,2022-01-23T00:00:00+00:00,FC Bayern Muenchen Basketball,219,MLP Academics Heidelberg,215,92,70,local,2021-22,0
2022_0123_450_214,2022-01-23T00:00:00+00:00,BG Goettingen,214,SYNTAINICS MBC Weissenfels,450,83,93,visitante,2021-22,0
2022_0125_40_1634,2022-01-25T00:00:00+00:00,EWE Baskets Oldenburg,1634,Basketball Loewen Braunschweig,40,78,94,visitante,2021-22,0
2022_0126_132_2745,2022-01-26T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Bamberg Baskets,132,78,97,visitante,2021-22,0
2022_0128_1791_3361,2022-01-28T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,NINERS Chemnitz,1791,86,87,visitante,2021-22,0
2022_0129_19629_127,2022-01-29T00:00:00+00:00,Ratiopharm Ulm,127,Veolia Towers Hamburg,19629,91,90,local,2021-22,0
2022_0130_219_134,2022-01-30T00:00:00+00:00,Medi Bayreuth,134,FC Bayern Muenchen Basketball,219,60,83,visitante,2021-22,0
2022_0130_1634_1510,2022-01-30T00:00:00+00:00,Telekom Baskets Bonn,1510,EWE Baskets Oldenburg,1634,89,65,local,2021-22,0
2022_0130_2745_10,2022-01-30T00:00:00+00:00,ALBA Berlin,10,FITOne Wuerzburg Baskets,2745,82,70,local,2021-22,0
2022_0202_1634_215,2022-02-02T00:00:00+00:00,MLP Academics Heidelberg,215,EWE Baskets Oldenburg,1634,73,109,visitante,2021-22,0
2022_0203_40_2745,2022-02-03T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Basketball Loewen Braunschweig,40,75,80,visitante,2021-22,0
2022_0205_134_19629,2022-02-05T00:00:00+00:00,Veolia Towers Hamburg,19629,Medi Bayreuth,134,71,90,visitante,2021-22,0
2022_0205_215_1791,2022-02-05T00:00:00+00:00,NINERS Chemnitz,1791,MLP Academics Heidelberg,215,81,66,local,2021-22,0
2022_0206_40_219,2022-02-06T00:00:00+00:00,FC Bayern Muenchen Basketball,219,Basketball Loewen Braunschweig,40,91,82,local,2021-22,0
