game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff,fs_match_id,home_fga,home_fgm,home_fg_pct,home_fg2a,home_fg2m,home_fg2_pct,home_fg3a,home_fg3m,home_fg3_pct,home_fta,home_ftm,home_ft_pct,home_oreb,home_dreb,home_reb,home_ast,home_blk,home_tov,home_stl,home_pf,away_fga,away_fgm,away_fg_pct,away_fg2a,away_fg2m,away_fg2_pct,away_fg3a,away_fg3m,away_fg3_pct,away_fta,away_ftm,away_ft_pct,away_oreb,away_dreb,away_reb,away_ast,away_blk,away_tov,away_stl,away_pf,fs_match_orientation
2020_1122_134_450,2020-11-22T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,Medi Bayreuth,134,81,99,visitante,2020-21,0,8zBoKzUj,78.0,33.0,42.31,51.0,22.0,43.14,27.0,11.0,40.74,7.0,4.0,57.1,18.0,19.0,37.0,18.0,3.0,15.0,7.0,21.0,57.0,32.0,56.14,41.0,22.0,53.66,16.0,10.0,62.5,28.0,25.0,89.3,7.0,26.0,33.0,24.0,3.0,13.0,7.0,17.0,reverse
2020_1122_2745_19629,2020-11-22T00:00:00+00:00,Veolia Towers Hamburg,19629,FITOne Wuerzburg Baskets,2745,90,61,local,2020-21,0,UqCsLGEp,68.0,32.0,47.06,38.0,21.0,55.26,30.0,11.0,36.67,19.0,15.0,78.9,11.0,21.0,32.0,20.0,1.0,9.0,15.0,19.0,60.0,25.0,41.67,43.0,22.0,51.16,17.0,3.0,17.65,11.0,8.0,72.7,14.0,24.0,38.0,13.0,4.0,22.0,5.0,17.0,reverse
2020_1122_219_41,2020-11-22T00:00:00+00:00,MHP Riesen Ludwigsburg,41,FC Bayern Muenchen Basketball,219,70,93,visitante,2020-21,0,phfUrK6i,63.0,23.0,36.51,36.0,14.0,38.89,27.0,9.0,33.33,23.0,15.0,65.2,9.0,13.0,22.0,10.0,2.0,11.0,6.0,16.0,59.0,37.0,62.71,36.0,24.0,66.67,23.0,13.0,56.52,9.0,6.0,66.7,8.0,31.0,39.0,27.0,2.0,16.0,3.0,26.0,reverse
2020_1203_1510_19629,2020-12-03T00:00:00+00:00,Veolia Towers Hamburg,19629,Telekom Baskets Bonn,1510,93,63,local,2020-21,0,OrgYsvMc,65.0,37.0,56.92,40.0,28.0,70.0,25.0,9.0,36.0,17.0,10.0,58.8,13.0,29.0,42.0,17.0,1.0,14.0,13.0,27.0,54.0,20.0,37.04,33.0,14.0,42.42,21.0,6.0,28.57,24.0,17.0,70.8,6.0,17.0,23.0,13.0,3.0,16.0,6.0,20.0,reverse
2020_1204_1634_1791,2020-12-04T00:00:00+00:00,NINERS Chemnitz,1791,EWE Baskets Oldenburg,1634,73,119,visitante,2020-21,0,bF0pux6G,67.0,27.0,40.3,36.0,18.0,50.0,31.0,9.0,29.03,20.0,17.0,85.0,13.0,17.0,30.0,14.0,0.0,12.0,6.0,21.0,62.0,41.0,66.13,32.0,20.0,62.5,30.0,21.0,70.0,19.0,16.0,84.2,4.0,33.0,37.0,27.0,3.0,10.0,7.0,19.0,reverse
2020_1204_2315_214,2020-12-04T00:00:00+00:00,BG Goettingen,214,Merlins Crailsheim,2315,77,89,visitante,2020-21,0,6u4hwGzT,66.0,29.0,43.94,48.0,24.0,50.0,18.0,5.0,27.78,20.0,14.0,70.0,12.0,26.0,38.0,14.0,3.0,13.0,7.0,26.0,61.0,30.0,49.18,32.0,22.0,68.75,29.0,8.0,27.59,27.0,21.0,77.8,8.0,26.0,34.0,12.0,4.0,11.0,3.0,21.0,reverse
2020_1206_1510_1634,2020-12-06T00:00:00+00:00,EWE Baskets Oldenburg,1634,Telekom Baskets Bonn,1510,97,92,local,2020-21,0,dAWEfH53,60.0,35.0,58.33,38.0,25.0,65.79,22.0,10.0,45.45,22.0,19.0,86.4,7.0,23.0,30.0,21.0,2.0,8.0,5.0,18.0,60.0,35.0,58.33,41.0,22.0,53.66,19.0,13.0,68.42,14.0,9.0,64.3,5.0,21.0,26.0,22.0,0.0,12.0,5.0,20.0,reverse
2020_1206_41_2315,2020-12-06T00:00:00+00:00,Merlins Crailsheim,2315,MHP Riesen Ludwigsburg,41,88,97,visitante,2020-21,0,IJXAecjc,59.0,26.0,44.07,29.0,14.0,48.28,30.0,12.0,40.0,28.0,24.0,85.7,5.0,22.0,27.0,21.0,0.0,9.0,4.0,28.0,65.0,30.0,46.15,36.0,21.0,58.33,29.0,9.0,31.03,38.0,28.0,73.7,16.0,26.0,42.0,13.0,0.0,11.0,5.0,19.0,reverse
2020_1206_127_2457,2020-12-06T00:00:00+00:00,Rasta Vechta,2457,Ratiopharm Ulm,127,73,74,visitante,2020-21,0,4GqTWDDd,57.0,27.0,47.37,33.0,19.0,57.58,24.0,8.0,33.33,19.0,13.0,68.4,5.0,26.0,31.0,12.0,2.0,19.0,5.0,23.0,55.0,25.0,45.45,37.0,19.0,51.35,18.0,6.0,33.33,23.0,20.0,87.0,6.0,28.0,34.0,16.0,1.0,18.0,11.0,25.0,reverse
2020_1206_134_10,2020-12-06T00:00:00+00:00,ALBA Berlin,10,Medi Bayreuth,134,71,69,local,2020-21,0,GCnGhezG,70.0,30.0,42.86,35.0,19.0,54.29,35.0,11.0,31.43,2.0,2.0,100.0,19.0,28.0,47.0,21.0,2.0,22.0,8.0,16.0,58.0,25.0,43.1,32.0,17.0,53.13,26.0,8.0,30.77,13.0,11.0,84.6,6.0,22.0,28.0,18.0,3.0,16.0,13.0,15.0,reverse
