game_id,temporada,fecha,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_win_rate_3,away_win_rate_3,win_rate_diff_3,home_streak_5,away_streak_5,home_pt_diff_avg_5,away_pt_diff_avg_5,pt_diff_diff_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
2020_1206_134_10,2020-21,2020-12-06 00:00:00+00:00,ALBA Berlin,Medi Bayreuth,10,134,88.33333333333333,75.33333333333333,1.0,86.0,87.33333333333333,0.6666666666666666,2.3333333333333286,0.33333333333333337,88.33333333333333,75.33333333333333,1.0,86.0,87.33333333333333,0.6666666666666666,2.3333333333333286,0.33333333333333337,1.0,0.6666666666666666,0.33333333333333337,3.0,1.0,13.0,-1.3333333333333286,14.333333333333329,0,0,0.5,1,1
2020_1206_1791_3361,2020-21,2020-12-06 00:00:00+00:00,Fraport Skyliners Frankfurt,NINERS Chemnitz,3361,1791,62.333333333333336,80.0,0.0,86.0,105.0,0.0,-23.666666666666664,0.0,62.333333333333336,80.0,0.0,86.0,105.0,0.0,-23.666666666666664,0.0,0.0,0.0,0.0,-3.0,-3.0,-17.666666666666664,-19.0,1.3333333333333357,0,0,0.5,1,1
2020_1206_450_19629,2020-21,2020-12-06 00:00:00+00:00,Veolia Towers Hamburg,SYNTAINICS MBC Weissenfels,19629,450,87.0,66.33333333333333,1.0,73.5,91.5,0.0,13.5,1.0,87.0,66.33333333333333,1.0,73.5,91.5,0.0,13.5,1.0,1.0,0.0,1.0,3.0,-2.0,20.66666666666667,-18.0,38.66666666666667,0,0,0.5,1,1
2020_1206_219_214,2020-21,2020-12-06 00:00:00+00:00,BG Goettingen,FC Bayern Muenchen Basketball,214,219,83.0,91.0,0.5,86.0,66.66666666666667,1.0,-3.0,-0.5,83.0,91.0,0.5,86.0,66.66666666666667,1.0,-3.0,-0.5,0.6666666666666666,1.0,-0.33333333333333337,0.0,3.0,-8.0,19.33333333333333,-27.33333333333333,0,0,0.5,1,0
2020_1206_133_132,2020-21,2020-12-06 00:00:00+00:00,Bamberg Baskets,46ers Giessen,132,133,87.66666666666667,88.33333333333333,0.3333333333333333,81.0,106.0,0.0,6.666666666666671,0.3333333333333333,87.66666666666667,88.33333333333333,0.3333333333333333,81.0,106.0,0.0,6.666666666666671,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-1.0,-1.0,-0.6666666666666572,-25.0,24.333333333333343,0,0,0.5,1,1
2020_1206_2745_40,2020-21,2020-12-06 00:00:00+00:00,Basketball Loewen Braunschweig,FITOne Wuerzburg Baskets,40,2745,85.0,89.33333333333333,0.3333333333333333,75.33333333333333,86.66666666666667,0.3333333333333333,9.666666666666671,0.0,85.0,89.33333333333333,0.3333333333333333,75.33333333333333,86.66666666666667,0.3333333333333333,9.666666666666671,0.0,0.3333333333333333,0.3333333333333333,0.0,-1.0,-1.0,-4.333333333333329,-11.333333333333343,7.000000000000014,0,0,0.5,1,1
2020_1208_41_10,2020-21,2020-12-08 00:00:00+00:00,ALBA Berlin,MHP Riesen Ludwigsburg,10,41,84.0,73.75,1.0,88.25,84.0,0.75,-4.25,0.25,84.0,73.75,1.0,88.25,84.0,0.75,-4.25,0.25,1.0,0.6666666666666666,0.33333333333333337,4.0,2.0,10.25,4.25,6.0,0,0,0.5,1,0
2020_1208_450_219,2020-21,2020-12-08 00:00:00+00:00,FC Bayern Muenchen Basketball,SYNTAINICS MBC Weissenfels,219,450,87.0,68.0,1.0,75.66666666666667,89.33333333333333,0.0,11.333333333333329,1.0,87.0,68.0,1.0,75.66666666666667,89.33333333333333,0.0,11.333333333333329,1.0,1.0,0.0,1.0,4.0,-3.0,19.0,-13.666666666666657,32.66666666666666,0,0,0.5,1,1
2020_1208_40_133,2020-21,2020-12-08 00:00:00+00:00,46ers Giessen,Basketball Loewen Braunschweig,133,40,90.0,106.0,0.0,87.0,89.25,0.5,3.0,-0.5,90.0,106.0,0.0,87.0,89.25,0.5,3.0,-0.5,0.0,0.6666666666666666,-0.6666666666666666,-2.0,0.0,-16.0,-2.25,-13.75,0,0,0.5,1,0
2020_1209_2315_1791,2020-21,2020-12-09 00:00:00+00:00,NINERS Chemnitz,Merlins Crailsheim,1791,2315,82.0,99.5,0.0,90.5,83.75,0.75,-8.5,-0.75,82.0,99.5,0.0,90.5,83.75,0.75,-8.5,-0.75,0.0,0.6666666666666666,-0.6666666666666666,-4.0,2.0,-17.5,6.75,-24.25,0,0,0.5,1,0
2020_1209_2457_134,2020-21,2020-12-09 00:00:00+00:00,Medi Bayreuth,Rasta Vechta,134,2457,81.75,83.25,0.5,77.25,87.0,0.0,4.5,0.5,81.75,83.25,0.5,77.25,87.0,0.0,4.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.0,-4.0,-1.5,-9.75,8.25,0,0,0.5,1,1
2020_1210_19629_133,2020-21,2020-12-10 00:00:00+00:00,46ers Giessen,Veolia Towers Hamburg,133,19629,88.33333333333333,101.66666666666667,0.0,86.5,69.75,1.0,1.8333333333333286,-1.0,88.33333333333333,101.66666666666667,0.0,86.5,69.75,1.0,1.8333333333333286,-1.0,0.0,1.0,-1.0,-3.0,4.0,-13.333333333333343,16.75,-30.083333333333343,0,0,0.5,1,0
2020_1211_2457_1510,2020-21,2020-12-11 00:00:00+00:00,Telekom Baskets Bonn,Rasta Vechta,1510,2457,77.6,91.2,0.0,79.6,88.0,0.0,-2.0,0.0,77.6,91.2,0.0,79.6,88.0,0.0,-2.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-13.600000000000009,-8.400000000000006,-5.200000000000003,0,0,0.5,1,1
2020_1212_3361_41,2020-21,2020-12-12 00:00:00+00:00,MHP Riesen Ludwigsburg,Fraport Skyliners Frankfurt,41,3361,86.2,81.4,0.8,67.5,77.5,0.25,18.700000000000003,0.55,86.2,81.4,0.8,67.5,77.5,0.25,18.700000000000003,0.55,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,-2.0,4.799999999999997,-10.0,14.799999999999997,0,0,0.5,1,1
2020_1212_214_450,2020-21,2020-12-12 00:00:00+00:00,SYNTAINICS MBC Weissenfels,BG Goettingen,450,214,77.75,91.0,0.0,80.8,90.8,0.4,-3.049999999999997,-0.4,77.75,91.0,0.0,80.8,90.8,0.4,-3.049999999999997,-0.4,0.0,0.3333333333333333,-0.3333333333333333,-4.0,-1.0,-13.25,-10.0,-3.25,0,0,0.5,1,1
2020_1212_1791_2745,2020-21,2020-12-12 00:00:00+00:00,FITOne Wuerzburg Baskets,NINERS Chemnitz,2745,1791,78.75,88.25,0.25,80.8,97.2,0.0,-2.049999999999997,0.25,78.75,88.25,0.25,80.8,97.2,0.0,-2.049999999999997,0.25,0.3333333333333333,0.0,0.3333333333333333,-2.0,-5.0,-9.5,-16.400000000000006,6.900000000000006,0,0,0.5,1,1
2020_1212_2315_1634,2020-21,2020-12-12 00:00:00+00:00,EWE Baskets Oldenburg,Merlins Crailsheim,1634,2315,99.8,81.2,0.8,90.0,82.2,0.8,9.799999999999997,0.0,99.8,81.2,0.8,90.0,82.2,0.8,9.799999999999997,0.0,1.0,0.6666666666666666,0.33333333333333337,3.0,3.0,18.599999999999994,7.799999999999997,10.799999999999997,0,0,0.5,1,0
2020_1213_40_134,2020-21,2020-12-13 00:00:00+00:00,Medi Bayreuth,Basketball Loewen Braunschweig,134,40,83.8,84.4,0.6,88.2,88.4,0.6,-4.400000000000006,0.0,83.8,84.4,0.6,88.2,88.4,0.6,-4.400000000000006,0.0,0.6666666666666666,1.0,-0.33333333333333337,1.0,1.0,-0.6000000000000085,-0.20000000000000284,-0.4000000000000057,0,0,0.5,1,0
