match_id,temporada,fecha,jornada,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_t3_pct_avg_5,home_t2_pct_avg_5,home_reb_avg_5,home_ast_avg_5,home_val_avg_5,away_t3_pct_avg_5,away_t2_pct_avg_5,away_reb_avg_5,away_ast_avg_5,away_val_avg_5,val_diff_5,home_streak_5,away_streak_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
101281,2020-21,2020-10-03 18:45:00+00:00,4,Unicaja,BAXI Manresa,14,10,74.66666666666667,79.33333333333333,0.3333333333333333,79.33333333333333,82.0,0.3333333333333333,-4.666666666666657,0.0,74.66666666666667,79.33333333333333,0.3333333333333333,79.33333333333333,82.0,0.3333333333333333,-4.666666666666657,0.0,0.3371666666666666,0.47136666666666666,25.0,16.0,69.33333333333333,0.3083666666666667,0.5551,33.333333333333336,21.666666666666668,86.66666666666667,-17.333333333333343,-1.0,-1.0,0.0,0.0,0.5,1,0
101278,2020-21,2020-10-04 10:30:00+00:00,4,Urbas Fuenlabrada,Movistar Estudiantes,17,6,77.5,95.0,0.0,82.66666666666667,89.0,0.0,-5.166666666666671,0.0,77.5,95.0,0.0,82.66666666666667,89.0,0.0,-5.166666666666671,0.0,0.25405,0.56945,28.5,13.5,70.5,0.4370666666666667,0.5071333333333333,26.666666666666668,12.666666666666666,73.0,-2.5,-2.0,-3.0,0.0,0.0,0.5,1,0
101286,2020-21,2020-10-04 15:00:00+00:00,4,TD Systems Baskonia,UCAM Murcia CB,3,12,83.66666666666667,76.66666666666667,1.0,80.33333333333333,82.66666666666667,0.3333333333333333,3.333333333333343,0.6666666666666667,83.66666666666667,76.66666666666667,1.0,80.33333333333333,82.66666666666667,0.3333333333333333,3.333333333333343,0.6666666666666667,0.36866666666666664,0.49970000000000003,28.333333333333332,21.0,92.33333333333333,0.2904333333333333,0.49576666666666663,38.666666666666664,14.333333333333334,82.33333333333333,10.0,3.0,-1.0,0.0,0.0,0.5,1,0
101279,2020-21,2020-10-04 18:00:00+00:00,4,Coosur Real Betis,Valencia Basket Club,15,13,68.5,82.5,0.0,82.0,75.33333333333333,0.6666666666666666,-13.5,-0.6666666666666666,68.5,82.5,0.0,82.0,75.33333333333333,0.6666666666666666,-13.5,-0.6666666666666666,0.27275,0.47619999999999996,32.0,14.0,66.0,0.39286666666666664,0.5861000000000001,29.0,17.666666666666668,97.33333333333333,-31.33333333333333,-2.0,1.0,0.0,0.0,0.5,1,1
101284,2020-21,2020-10-08 18:45:00+00:00,4,Casademont Zaragoza,Hereda San Pablo Burgos,16,549,85.66666666666667,88.0,0.3333333333333333,89.33333333333333,75.33333333333333,0.6666666666666666,-3.666666666666657,-0.3333333333333333,85.66666666666667,88.0,0.3333333333333333,89.33333333333333,75.33333333333333,0.6666666666666666,-3.666666666666657,-0.3333333333333333,0.3253,0.544,32.666666666666664,18.333333333333332,86.33333333333333,0.35400000000000004,0.6311666666666667,33.0,21.333333333333332,101.33333333333333,-15.0,-1.0,1.0,0.0,0.0,0.5,1,0
101226,2020-21,2020-10-10 16:00:00+00:00,5,Acunsa GBC,Casademont Zaragoza,7,16,73.5,88.0,0.0,85.75,91.0,0.25,-12.25,-0.25,73.5,88.0,0.0,85.75,91.0,0.25,-12.25,-0.25,0.33635000000000004,0.4405,32.0,15.5,69.0,0.303975,0.5724750000000001,32.25,16.5,85.25,-16.25,-2.0,-2.0,0.0,0.0,0.5,1,1
101282,2020-21,2020-10-10 16:00:00+00:00,5,BAXI Manresa,MoraBanc Andorra,10,22,82.0,83.0,0.5,81.25,81.75,0.25,0.75,0.25,82.0,83.0,0.5,81.25,81.75,0.25,0.75,0.25,0.34335,0.5534250000000001,33.5,21.0,89.75,0.389175,0.54115,33.0,18.5,85.25,4.5,0.0,-2.0,0.0,0.0,0.5,1,0
101251,2020-21,2020-10-10 18:45:00+00:00,5,UCAM Murcia CB,Coosur Real Betis,12,15,81.0,80.75,0.5,77.33333333333333,83.33333333333333,0.3333333333333333,3.6666666666666714,0.16666666666666669,81.0,80.75,0.5,77.33333333333333,83.33333333333333,0.3333333333333333,3.6666666666666714,0.16666666666666669,0.326525,0.49682499999999996,36.75,14.75,82.5,0.30683333333333335,0.5369666666666667,31.666666666666668,14.333333333333334,80.33333333333333,2.1666666666666714,0.0,-1.0,0.0,0.0,0.5,1,1
101274,2020-21,2020-10-10 18:45:00+00:00,5,Iberostar Tenerife,Urbas Fuenlabrada,28,17,85.33333333333333,79.33333333333333,1.0,78.66666666666667,90.66666666666667,0.0,6.666666666666657,1.0,85.33333333333333,79.33333333333333,1.0,78.66666666666667,90.66666666666667,0.0,6.666666666666657,1.0,0.33180000000000004,0.5273333333333333,30.666666666666668,17.0,85.0,0.3175,0.5499999999999999,30.0,14.0,76.33333333333333,8.666666666666671,3.0,-3.0,0.0,0.0,0.5,1,1
101252,2020-21,2020-10-11 10:30:00+00:00,5,Club Joventut Badalona,RETAbet Bilbao Basket,8,4,78.0,76.0,0.75,83.75,87.75,0.25,-5.75,0.5,78.0,76.0,0.75,83.75,87.75,0.25,-5.75,0.5,0.4043,0.5035499999999999,33.0,18.5,83.75,0.38230000000000003,0.50295,32.0,16.25,88.25,-4.5,2.0,-2.0,0.0,0.0,0.5,1,1
